Date, O, H, L, C, V,SMA(14),SMA(14)
06-02-2020 10:00,311.1,313.85,310.15,312.7,5883154,0,0
06-02-2020 11:00,312.55,312.95,310.25,310.4,3627292,0,0
06-02-2020 12:00,310.25,315.9,310.2,315.7,7153833,0,0
06-02-2020 13:00,315.9,321.65,315.1,321.25,13519001,0,0
06-02-2020 14:00,321.15,323.5,319.5,319.85,12891581,0,0
06-02-2020 15:00,319.9,321.9,319.6,321.25,7702023,0,0
06-02-2020 15:30,321.15,323.1,320.8,321.05,6479741,0,0
07-02-2020 10:00,321.3,324.3,318.4,322.65,10383621,0,0
07-02-2020 11:00,322.7,325,321.9,324.4,6443734,0,0
07-02-2020 12:00,324.5,324.65,322.7,323.3,4235311,0,0
07-02-2020 13:00,323.3,323.95,322,322.5,4124809,0,0
07-02-2020 14:00,322.55,322.85,319.9,319.95,4370139,0,0
07-02-2020 15:00,320,322,319.65,321,3384432,0,0
07-02-2020 15:30,321,321.7,319.55,319.8,3675122,321.2357143,321.2357143
10-02-2020 10:00,319.75,322.75,317.9,319.55,6168204,321.8714286,321.8714286
10-02-2020 11:00,319.6,319.65,316.95,318.05,4896408,322.35,322.35
10-02-2020 12:00,318.05,319.7,317.8,319.1,2603613,322.6214286,322.6214286
10-02-2020 13:00,319.1,320.5,318.5,319.1,2208847,322.5392857,322.5392857
10-02-2020 14:00,319.1,319.15,317.25,317.75,2190860,322.2285714,322.2285714
10-02-2020 15:00,317.75,318.45,316.65,317.5,3096340,321.9821429,321.9821429
10-02-2020 15:30,317.55,319.15,317.4,318.5,3402988,321.7,321.7
11-02-2020 10:00,321.4,324.5,321.3,323.6,7004464,321.7142857,321.7142857
11-02-2020 11:00,323.75,324.75,322.65,323.05,4303195,321.6964286,321.6964286
11-02-2020 12:00,323.2,323.9,322.15,322.6,3060327,321.6428571,321.6428571
11-02-2020 13:00,322.5,323.8,321.55,323.3,3108133,321.6321429,321.6321429
11-02-2020 14:00,323.3,324,322.55,323.6,2439072,321.7142857,321.7142857
11-02-2020 15:00,323.65,323.8,322.15,322.65,2972609,321.8428571,321.8428571
11-02-2020 15:30,322.6,325.75,322.6,324.5,7062554,322.1321429,322.1321429
12-02-2020 10:00,329.45,329.5,326.2,326.6,8842162,322.6142857,322.6142857
12-02-2020 11:00,326.6,327.25,324.4,324.7,5086186,323.1571429,323.1571429
12-02-2020 12:00,324.7,325.4,322.25,322.9,4851225,323.5642857,323.5642857
12-02-2020 13:00,322.8,323.45,321.7,322.95,5137812,323.775,323.775
12-02-2020 14:00,322.8,323,320.5,321.55,3916886,324.05,324.05
12-02-2020 15:00,321.55,322.15,320.6,321.2,4010392,324.3142857,324.3142857
12-02-2020 15:30,321.2,321.6,319.25,320.4,6484495,324.4892857,324.4892857
13-02-2020 10:00,325.15,329.65,324.35,327.5,16759914,324.8571429,324.8571429
13-02-2020 11:00,327.5,330.9,327.2,328.95,12081900,325.2964286,325.2964286
13-02-2020 12:00,329,329.7,327.75,328.3,4818411,325.7107143,325.7107143
13-02-2020 13:00,328.35,329.9,328.15,328.7,4005302,326.1464286,326.1464286
13-02-2020 14:00,328.65,329,326.6,326.7,7791648,326.5035714,326.5035714
13-02-2020 15:00,326.7,327.9,325.4,326.6,9232795,326.7964286,326.7964286
13-02-2020 15:30,326.65,328.1,326.6,327.5,7054901,326.9642857,326.9642857
14-02-2020 10:00,327.65,331.9,327.65,329.75,7852392,327.1357143,327.1357143
14-02-2020 11:00,329.85,331.35,324,325.7,9831876,327.4285714,327.4285714
14-02-2020 12:00,325.55,325.8,321.55,324.25,9997678,327.4571429,327.4571429
14-02-2020 13:00,324.3,325.5,322.3,322.45,3817660,327.6035714,327.6035714
14-02-2020 14:00,322.35,323.15,321,321.95,5029253,327.6142857,327.6142857
14-02-2020 15:00,322,322.4,319.05,320.4,6144443,327.6321429,327.6321429
14-02-2020 15:30,320.5,320.85,318.55,319.95,5118680,327.5785714,327.5785714
17-02-2020 10:00,320.95,321.15,313.85,316,10723357,326.9714286,326.9714286
17-02-2020 11:00,316,316,313,314.8,5050598,325.9071429,325.9071429
